Datetime,Water Level (m)
2023-12-27 00:00:00,-1.8446026
2023-12-27 01:00:00,-2.197151
2023-12-27 02:00:00,-2.000602
2023-12-27 03:00:00,-1.1766851
2023-12-27 04:00:00,-0.23834744
2023-12-27 05:00:00,0.56327397
2023-12-27 06:00:00,1.0236499
2023-12-27 07:00:00,1.1029956
2023-12-27 08:00:00,0.8237157
2023-12-27 09:00:00,0.20363928
2023-12-27 10:00:00,-0.58184403
2023-12-27 11:00:00,-1.3258247
2023-12-27 12:00:00,-1.9181896
2023-12-27 13:00:00,-2.184185
2023-12-27 14:00:00,-1.7647729
2023-12-27 15:00:00,-0.75948846
2023-12-27 16:00:00,0.2651157
2023-12-27 17:00:00,1.1664139
2023-12-27 18:00:00,1.6724182
2023-12-27 19:00:00,1.846371
2023-12-27 20:00:00,1.5949126
2023-12-27 21:00:00,0.92102855
2023-12-27 22:00:00,0.038692776
2023-12-27 23:00:00,-0.84586006
2023-12-28 00:00:00,-1.6328112
2023-12-28 01:00:00,-2.2146335
2023-12-28 02:00:00,-2.395783
2023-12-28 03:00:00,-1.77603
2023-12-28 04:00:00,-0.74748504
2023-12-28 05:00:00,0.17551954
2023-12-28 06:00:00,0.86325216
2023-12-28 07:00:00,1.1109955
2023-12-28 08:00:00,1.03739
2023-12-28 09:00:00,0.6056261
2023-12-28 10:00:00,-0.100632876
2023-12-28 11:00:00,-0.8576263
2023-12-28 12:00:00,-1.5539942
2023-12-28 13:00:00,-2.0630271
2023-12-28 14:00:00,-2.1692724
2023-12-28 15:00:00,-1.4916797
2023-12-28 16:00:00,-0.42905977
2023-12-28 17:00:00,0.5974797
2023-12-28 18:00:00,1.407185
2023-12-28 19:00:00,1.7761319
2023-12-28 20:00:00,1.7676713
2023-12-28 21:00:00,1.3061094
2023-12-28 22:00:00,0.5004228
2023-12-28 23:00:00,-0.38601786
2023-12-29 00:00:00,-1.2304775
2023-12-29 01:00:00,-1.9391752
2023-12-29 02:00:00,-2.3689406
2023-12-29 03:00:00,-2.218417
2023-12-29 04:00:00,-1.3181525
2023-12-29 05:00:00,-0.35974768
2023-12-29 06:00:00,0.46859416
2023-12-29 07:00:00,0.9952319
2023-12-29 08:00:00,1.119687
2023-12-29 09:00:00,0.9166641
2023-12-29 10:00:00,0.37343168
2023-12-29 11:00:00,-0.36228788
2023-12-29 12:00:00,-1.0960687
2023-12-29 13:00:00,-1.7306463
2023-12-29 14:00:00,-2.123309
2023-12-29 15:00:00,-1.972485
2023-12-29 16:00:00,-1.0591713
2023-12-29 17:00:00,-0.025323687
2023-12-29 18:00:00,0.931934
2023-12-29 19:00:00,1.5426329
2023-12-29 20:00:00,1.7559009
2023-12-29 21:00:00,1.5532663
2023-12-29 22:00:00,0.9484669
2023-12-29 23:00:00,0.11470103
2023-12-30 00:00:00,-0.74491876
2023-12-30 01:00:00,-1.5270222
2023-12-30 02:00:00,-2.1288896
2023-12-30 03:00:00,-2.3616524
2023-12-30 04:00:00,-1.873829
2023-12-30 05:00:00,-0.91000885
2023-12-30 06:00:00,0.011621913
2023-12-30 07:00:00,0.7580655
2023-12-30 08:00:00,1.1014678
2023-12-30 09:00:00,1.1083639
2023-12-30 10:00:00,0.7566555
2023-12-30 11:00:00,0.12116422
2023-12-30 12:00:00,-0.6077984
2023-12-30 13:00:00,-1.301766
2023-12-30 14:00:00,-1.8488703
2023-12-30 15:00:00,-2.0717287
2023-12-30 16:00:00,-1.6320634
2023-12-30 17:00:00,-0.6426492
2023-12-30 18:00:00,0.34280574
2023-12-30 19:00:00,1.1773882
2023-12-30 20:00:00,1.5817267
2023-12-30 21:00:00,1.6287527
2023-12-30 22:00:00,1.2621015
2023-12-30 23:00:00,0.55983824
2023-12-31 00:00:00,-0.26642022
2023-12-31 01:00:00,-1.0745605
2023-12-31 02:00:00,-1.7700365
2023-12-31 03:00:00,-2.222178
2023-12-31 04:00:00,-2.18393
2023-12-31 05:00:00,-1.4528255
2023-12-31 06:00:00,-0.53208196
2023-12-31 07:00:00,0.30795816
2023-12-31 08:00:00,0.8991361
2023-12-31 09:00:00,1.0964372
2023-12-31 10:00:00,0.991179
2023-12-31 11:00:00,0.55380917
2023-12-31 12:00:00,-0.11569635
2023-12-31 13:00:00,-0.82223624
2023-12-31 14:00:00,-1.45682
2023-12-31 15:00:00,-1.8887087
2023-12-31 16:00:00,-1.8916138
2023-12-31 17:00:00,-1.2088159
2023-12-31 18:00:00,-0.2562182
2023-12-31 19:00:00,0.64125943
2023-12-31 20:00:00,1.2724543
2023-12-31 21:00:00,1.5147371
2023-12-31 22:00:00,1.3955652
2023-12-31 23:00:00,0.90963084
2024-01-01 00:00:00,0.16434522
2024-01-01 01:00:00,-0.6290588
2024-01-01 02:00:00,-1.3573179
2024-01-01 03:00:00,-1.9299613
2024-01-01 04:00:00,-2.1867871
2024-01-01 05:00:00,-1.8814249
2024-01-01 06:00:00,-1.0703437
2024-01-01 07:00:00,-0.20938101
2024-01-01 08:00:00,0.53058547
2024-01-01 09:00:00,0.96169513
2024-01-01 10:00:00,1.0728987
2024-01-01 11:00:00,0.8689632
2024-01-01 12:00:00,0.36933795
2024-01-01 13:00:00,-0.28781223
2024-01-01 14:00:00,-0.95027125
2024-01-01 15:00:00,-1.4997857
2024-01-01 16:00:00,-1.8087022
2024-01-01 17:00:00,-1.6249362
2024-01-01 18:00:00,-0.8517788
2024-01-01 19:00:00,0.020956011
2024-01-01 20:00:00,0.7871084
2024-01-01 21:00:00,1.2286578
2024-01-01 22:00:00,1.3494859
2024-01-01 23:00:00,1.1021917
2024-01-02 00:00:00,0.5320501
